Word,Count
SAILOR,32
Steelkilt,32
carpenter,32
brain,31
rolling,31
killed,31
received,31
“What,31
fear,31
species,31
coffin,31
Yes,31
unless,31
Why,31
bear,31
holding,31
lines,31
visible,31
planks,31
table,31
want,31
weather,31
fair,31
mad,31
drawing,31
hardly,31
across,31
Aye,31
intervals,31
natural,31
pull,31
terms,30
Whales,30
generally,30
possible,30
rigging,30
really,30
jet,30
soft,30
won’t,30
sky,30
substance,30
carried,30
cast,30
nose,30
instances,30
de,30
altogether,29
swimming,29
huge,29
fresh,29
entirely,29
late,29
mast-heads,29
While,29
upper,29
possibly,29
Let,29
smoke,29
Besides,29
act,29
already,29
darkness,29
foot,29
tossed,29
leviathan,29
final,29
harpoons,29
stands,29
mariners,29
truth,29
person,29
wood,29
question,29
strangely,29
hammer,29
hull,29
ancient,28
strike,28
jaws,28
try,28
steel,28
pretty,28
miles,28
mild,28
considerable,28
mast,28
boys,28
considering,28
ago,28
quick,28
cold,28
words,28
hung,28
become,28
touch,28
third,28
read,28
glance,28
except,28
rising,28
hoisted,28
lie,27
leaning,27
vain,27
cook,27
following,27
number,27
I’ve,27
seeing,27
feeling,27
eyeing,27
Queequeg’s,27
hope,27
sideways,27
pass,27
Thus,27
aft,27
oh,27
die,27
wholly,27
start,27
electronic,27
Of,26
One,26
sides,26
kind,26
carry,26
enormous,26
Do,26
gale,26
degree,26
knows,26
boy,26
quarter-deck,26
circumstances,26
followed,26
flying,26
wooden,26
fancy,26
somewhat,26
certainly,26
getting,26
otherwise,26
takes,26
giving,26
circumstance,26
Nevertheless,26
scene,26
From,26
command,26
O,26
dropped,26
born,26
bodily,26
suspended,26
pointed,26
leeward,26
blubber,26
Fedallah,25
Stubb’s,25
kill,25
Dutch,25
hearts,25
play,25
King,25
learned,25
thirty,25
royal,25
front,25
island,25
bit,25
different,25
silent,25
seated,25
chief,25
astern,25
started,25
stop,25
thick,25
ears,25
cases,25
I’m,25
interval,25
precisely,25
duty,25
thinking,25
similar,25
helm,25
complete,25
woe,25
bearing,25
whale-boat,25
steady,25
alongside,25
blow,25
First,24
Thou,24
warm,24
yards,24
dart,24
floating,24
can’t,24
masts,24
seldom,24
thrown,24
love,24
finally,24
whale-ship,24
regular,24
“Oh,24
storm,24
drop,24
yourself,24
believe,24
became,24
afterwards,24
hump,24
swift,24
added,24
supper,24
chest,24
skull,24
aside,24
looks,24
fishermen,24
twenty,24
hinted,24
hunters,24
spread,24
state,24
ahead,24
remains,24
keel,24
whiteness,24
oar,24
coat,23
grow,23
country,23
six,23
year,23
“No,23
bright,23
regarded,23
pursuit,23
vessels,23
watery,23
